entry,entry_id
LCLAT1,LCLAT1
OR4C16,OR4C16
CHEK2,CHEK2
FAM3C,FAM3C
KCNH2,KCNH2
RAI2,RAI2
SLU7,SLU7
FGF12,FGF12
NEU4,NEU4
UBXN2A,UBXN2A
PIH1D3,PIH1D3
RNF128,RNF128
ARL8B,ARL8B
KLHL4,KLHL4
CCDC50,CCDC50
MPHOSPH6,MPHOSPH6
IL32,IL32
KNL1,KNL1
ZNF438,ZNF438
UBE2Q2L,UBE2Q2L
MGAT4B,MGAT4B
CNOT8,CNOT8
TBC1D5,TBC1D5
KPNA7,KPNA7
RPP25L,RPP25L
CT62,CT62
SLC39A12,SLC39A12
GNGT2,GNGT2
NDUFA11,NDUFA11
MOB3B,MOB3B
ENSG00000269741,ENSG00000269741
NDUFA13,NDUFA13
ITGAL,ITGAL
TRIB2,TRIB2
PHLPP2,PHLPP2
OR51A4,OR51A4
BIN3,BIN3
MYLK,MYLK
C1orf210,C1orf210
E2F2,E2F2
MEAF6,MEAF6
ELF2,ELF2
CLCC1,CLCC1
CD48,CD48
KIF20A,KIF20A
RPL11,RPL11
NPPB,NPPB
DCLRE1B,DCLRE1B
MRPL23,MRPL23
KRTAP19-5,KRTAP19-5
TPPP,TPPP
NHLRC1,NHLRC1
FLT3LG,FLT3LG
MZT2A,MZT2A
WNT11,WNT11
EIF3A,EIF3A
RPL5,RPL5
DTL,DTL
BMP8B,BMP8B
IRGM,IRGM
KCNK1,KCNK1
PPIL4,PPIL4
ANAPC15,ANAPC15
UTP23,UTP23
AMER3,AMER3
TSPAN14,TSPAN14
SH3GL3,SH3GL3
TADA1,TADA1
DNAJB9,DNAJB9
AMZ2,AMZ2
USP37,USP37
PHF10,PHF10
MOCS1,MOCS1
RFPL4B,RFPL4B
IL17RE,IL17RE
PAPPA2,PAPPA2
FANCD2OS,FANCD2OS
CHPF2,CHPF2
ARL2,ARL2
DTX1,DTX1
DDX10,DDX10
ANKRD23,ANKRD23
CD163L1,CD163L1
MBNL2,MBNL2
ARL6IP1,ARL6IP1
WTAP,WTAP
SULT2B1,SULT2B1
ADK,ADK
NKX2-8,NKX2-8
FAM71A,FAM71A
XPO5,XPO5
METAP2,METAP2
PIGW,PIGW
XKR9,XKR9
VMA21,VMA21
DESI1,DESI1
ZNF730,ZNF730
ACTR3B,ACTR3B
PCP4L1,PCP4L1
CHCHD10,CHCHD10
POLL,POLL
CCDC62,CCDC62
STYX,STYX
SNTB1,SNTB1
HOMER2,HOMER2
OLFML2B,OLFML2B
TRPC6,TRPC6
IGLV5-52,IGLV5-52
ZNF492,ZNF492
SAMM50,SAMM50
OSTM1,OSTM1
ECHDC3,ECHDC3
RPL37A,RPL37A
ERCC2,ERCC2
EPHA10,EPHA10
RASL12,RASL12
MYL7,MYL7
PTAR1,PTAR1
PRTFDC1,PRTFDC1
PRELID3B,PRELID3B
ASB12,ASB12
CARS,CARS
SLFN14,SLFN14
OR4D2,OR4D2
LYSMD4,LYSMD4
GATA2,GATA2
STK38L,STK38L
PGLYRP2,PGLYRP2
MAPT,MAPT
PLBD2,PLBD2
EIF2B1,EIF2B1
CHCHD6,CHCHD6
PDHX,PDHX
IGFL2,IGFL2
CHMP6,CHMP6
HPSE,HPSE
CCM2L,CCM2L
VMO1,VMO1
SLC35D3,SLC35D3
FAM3B,FAM3B
P4HA3,P4HA3
BRINP2,BRINP2
TRIM77,TRIM77
FIGLA,FIGLA
WDR19,WDR19
SYT5,SYT5
GABRG3,GABRG3
PLCB2,PLCB2
TAS2R46,TAS2R46
VMAC,VMAC
MYO5A,MYO5A
FGFBP1,FGFBP1
RAD51,RAD51
CEP295NL,CEP295NL
FABP6,FABP6
ZNF284,ZNF284
TRAPPC4,TRAPPC4
CACNG3,CACNG3
DCAF7,DCAF7
ZNF93,ZNF93
FUBP3,FUBP3
OBP2A,OBP2A
APLN,APLN
BDKRB2,BDKRB2
NID1,NID1
OR5K2,OR5K2
PLEKHF2,PLEKHF2
HOXD1,HOXD1
LEAP2,LEAP2
ESX1,ESX1
MDFIC,MDFIC
VWCE,VWCE
NFIB,NFIB
MRVI1,MRVI1
ABCG8,ABCG8
ZG16B,ZG16B
ARL2BP,ARL2BP
MYOC,MYOC
PROX1,PROX1
