entry,entry_id
TNFRSF13B,HGNC:18153
TRMT10A,HGNC:28403
OTOF,HGNC:8515
ALMS1,HGNC:428
COL22A1,HGNC:22989
ACAD9,HGNC:21497
METTL23,HGNC:26988
FOXE1,HGNC:3806
SUCLG1,HGNC:11449
HYAL1,HGNC:5320
ATP1A2,HGNC:800
GYG1,HGNC:4699
LDB3,HGNC:15710
TBX3,HGNC:11602
B4GALT1,HGNC:924
BMP4,HGNC:1071
COL4A6,HGNC:2208
RFXANK,HGNC:9987
ACTN2,HGNC:164
SMC1A,HGNC:11111
TUBA4A,HGNC:12407
RP2,HGNC:10274
DNM1,HGNC:2972
ARPP21,HGNC:16968
DICER1,HGNC:17098
IGHMBP2,HGNC:5542
NDUFB11,HGNC:20372
PMM2,HGNC:9115
DSP,HGNC:3052
